Id Cliente,No Crédito,Ciclo de crédito,Tasa Corriente,Tasa Mora,Plazo,Frecuencia,Monto del crédito aprobado,Monto desembolsado,Fecha de desembolso,Saldo de capital,Fecha del primer pago,Fecha de la última cuota del crédito,Días de vencimiento,Valor de la cuota,Capital adeudado a la fecha,Intereses corrientes adeudado a la fecha,Intereses en mora adeudado a la fecha,Pagaré,Estado del crédito,Capital vencido,Marcaciones,Intereses corrientes causados a la fecha,Intereses en mora causados a la fecha
622000bf024a4a79f6013397,622768472b2f382a5cf5c779,1,0.276097266,0.277102976,12,1,1318000,1318000,08/03/2022,1017986.26,07/04/2022,07/03/2023,1,125031.7323,404151.31,19381.81,0,3955,active,104137.57,BID,0,0
626c68c6024a4acf1200073c,62741c551db8db187c75579a,1,0.284797331,0.285794215,12,1,2024000,2024000,05/05/2022,2024000,04/06/2022,04/05/2023,34,192687.4448,303114.88,83100.33,101.38,5563,active,303114.88,,5051.52,405.52
61671086024a4a00190001d2,621be3b1644baa0748fbac0a,2,0.273503788,0.274492636,12,1,1518000,1518000,27/02/2022,1043282.36,14/03/2022,14/02/2023,0,143851.9527,465812.08,0,0,3400,active,0,BID,10355.16,0
5e5eae392f41f341740005f4,61a2cb6e45670412a5e098a1,1,0.258103357,0.259096061,12,1,1618000,1618000,29/11/2021,719018.9,26/12/2021,26/11/2022,0,152357.3279,898446.26,458.74,0,2109,active,0,,5386.4,0
621d5c35024a4a79f6010b21,6228aa597ea16a513a88a354,1,0.276097266,0.277102976,12,1,1418000,1418000,09/03/2022,1096014.36,07/04/2022,07/03/2023,1,134518.2067,434815.29,22624.76,0,4000,active,112829.65,BID,0,0
62055056024a4aca9001168a,625d87546577d8256405c39a,1,0.284797331,0.285794215,12,1,1518000,1518000,18/04/2022,1518000,14/05/2022,14/04/2023,55,144515.5836,227336.16,59038.94,157.14,5192,active,227336.16,,23237.28,1865.44
627a7d22024a4af7170014a7,628580db768593414b36ae78,1,0.284797331,0.285794215,12,1,2024000,2024000,18/05/2022,1876843.52,19/06/2022,19/05/2023,0,192687.4448,149974.98,0,0,6010,active,2818.50,AGATA,24152.25,0
5fb819ada3f1788e3800005a,607372e8ec481e6633ea1b5b,2,0.26675055,0.2612,6,1,500000,500000,31/03/2021,0,23/04/2021,23/09/2021,0,89232.78443,500000.03,0,0,4711-0529,closed,0,,0,0
5fb53bb22f41f3b0b000034f,5fd456af43d64d5ed419cedd,1,0.26675055,0.2676,3,1,250000,250000,30/11/2020,0,30/12/2020,28/02/2021,0,86671.7831,250000.01,0,0,3273-0155,closed,0,,0,0
6279a3593b10c4a7ac000d78,62866407cf4064413106ee03,1,0.284797331,0.285794215,12,1,2024000,2024000,19/05/2022,2024000,20/06/2022,20/05/2023,18,192687.4448,149974.98,44556,0,6057,active,149974.98,,25005.9,0
5f29f31433eebb46300004fc,6025a70e0af6304ccad44cb8,1,0.262286454,0.2631,4,1,500000,500000,02/02/2021,0,02/03/2021,02/06/2021,0,131184.438,500000.02,0,0,2967-0258,writeOff,0,,0,0
61fc2ea2024a4aca90000f93,6228a9fb7ea16a513a88a350,1,0.276097266,0.277102976,10,1,2018000,2018000,09/03/2022,2018000,07/04/2022,07/01/2023,92,225274.4756,758373.26,149651.42,11796.62,3983,active,758373.26,BID,0,0
6008bcf12f41f3a87600071d,623cedeadc3af1326611a51c,1,0.276097266,0.277102976,12,1,1518000,1518000,24/03/2022,1405152.74,23/04/2022,23/03/2023,46,144004.6811,345539.36,57495.74,156.56,4475,active,232692.10,,12037.62,1078.21
622d4adf024a4a9cd6000cce,623ceed63bccfe32809c9abb,1,0.276097266,0.277102976,12,1,1818000,1818000,24/03/2022,1818000,19/04/2022,19/03/2023,80,172464.1042,413827.76,102564.26,3088.52,4547,active,413827.76,,18603.24,3298.87
624b33131ee94dc3360000dd,62851370768593414b36aa6d,1,0.284797331,0.285794215,12,1,1524000,1524000,18/05/2022,1397718.63,14/06/2022,14/05/2023,0,145086.7914,112925.82,7786.56,0,5878,active,0,,23108.4,0
61aba65d3b10c4f3a7000b74,61c2548c57051750c1f368cc,1,0.260905515,0.261900245,6,1,1018000,1018000,27/12/2021,595109.49,24/01/2022,24/06/2022,106,181437.0235,1018000.03,5077.14,8570.19,2559,active,595109.52,,1575.5,3705.28
